target ip,asn,asn cidr,asn country cod,asn date,asn description,asn registry
142.250.80.46,15169,142.250.0.0/15,US,2012-05-24,"GOOGLE, US",arin
142.251.35.174,15169,142.250.0.0/15,US,2012-05-24,"GOOGLE, US",arin
150.222.250.180,NA,NA,US,2017-12-27,NA,arin
74.6.143.25,26101,74.6.143.0/24,US,2006-02-13,"YAHOO-BF1, US",arin
157.240.220.35,32934,157.240.220.0/24,US,2015-05-14,"FACEBOOK, US",arin
150.222.250.180,NA,NA,US,2017-12-27,NA,arin
184.31.10.133,33905,184.31.10.0/24,US,2010-10-11,"AKAMAI-AMS, NL",arin
96.110.22.85,7922,96.96.0.0/12,US,2008-02-21,"COMCAST-7922, US",arin
96.110.22.85,7922,96.96.0.0/12,US,2008-02-21,"COMCAST-7922, US",arin
96.110.22.85,7922,96.96.0.0/12,US,2008-02-21,"COMCAST-7922, US",arin
172.68.53.13,13335,172.68.52.0/22,US,2015-02-25,"CLOUDFLARENET, US",arin
23.227.38.32,13335,23.227.38.0/23,CA,2013-09-19,"CLOUDFLARENET, US",arin
209.140.191.187,62955,209.140.188.0/22,US,2017-09-20,"EBAYMTBB, US",arin
140.222.234.191,NA,NA,US,1990-06-15,NA,arin
104.44.11.184,8075,104.40.0.0/13,US,2014-05-07,"MICROSOFT-CORP-MSN-AS-BLOCK, US",arin
150.222.250.190,NA,NA,US,2017-12-27,NA,arin
96.110.22.85,7922,96.96.0.0/12,US,2008-02-21,"COMCAST-7922, US",arin
104.18.100.40,13335,104.18.96.0/20,US,2014-03-28,"CLOUDFLARENET, US",arin
157.240.220.174,32934,157.240.220.0/24,US,2015-05-14,"FACEBOOK, US",arin
96.110.22.85,7922,96.96.0.0/12,US,2008-02-21,"COMCAST-7922, US",arin
96.110.22.85,7922,96.96.0.0/12,US,2008-02-21,"COMCAST-7922, US",arin
13.249.183.122,16509,13.249.180.0/22,US,2018-07-11,"AMAZON-02, US",arin
104.109.10.129,33905,104.109.10.0/24,US,2014-04-22,"AKAMAI-AMS, NL",arin
13.249.183.41,16509,13.249.180.0/22,US,2018-07-11,"AMAZON-02, US",arin
96.110.22.85,7922,96.96.0.0/12,US,2008-02-21,"COMCAST-7922, US",arin
104.244.42.65,13414,104.244.42.0/24,US,2014-12-08,"TWITTER, US",arin
65.154.83.130,209,65.128.0.0/11,US,2000-08-23,"CENTURYLINK-US-LEGACY-QWEST, US",arin
162.125.248.18,19679,162.125.248.0/24,US,2015-11-20,"DROPBOX, US",arin
96.110.22.85,7922,96.96.0.0/12,US,2008-02-21,"COMCAST-7922, US",arin
184.25.58.208,20940,184.25.58.0/24,US,2010-10-11,"AKAMAI-ASN1, NL",arin
17.253.144.10,714,17.253.144.0/21,US,1990-04-16,"APPLE-ENGINEERING, US",arin
169.55.118.195,36351,169.55.64.0/18,US,1993-09-01,"SOFTLAYER, US",ripencc
23.203.151.161,20940,23.203.151.0/24,US,2013-07-12,"AKAMAI-ASN1, NL",arin
96.110.22.85,7922,96.96.0.0/12,US,2008-02-21,"COMCAST-7922, US",arin
23.57.97.245,32787,23.57.97.0/24,US,2011-05-16,"PROLEXIC-TECHNOLOGIES-DDOS-MITIGATION-NETWORK, US",arin
96.110.22.85,7922,96.96.0.0/12,US,2008-02-21,"COMCAST-7922, US",arin
104.17.114.17,13335,104.17.112.0/20,US,2014-03-28,"CLOUDFLARENET, US",arin
129.250.2.125,2914,129.250.0.0/16,US,1988-04-05,"NTT-COMMUNICATIONS-2914, US",arin
116.251.106.186,45102,116.251.64.0/18,CN,2011-01-21,"CNNIC-ALIBABA-US-NET-AP Alibaba US Technology Co., Ltd., CN",apnic
65.8.20.40,16509,65.8.20.0/24,US,2018-09-18,"AMAZON-02, US",arin
104.44.22.210,8075,104.40.0.0/13,US,2014-05-07,"MICROSOFT-CORP-MSN-AS-BLOCK, US",arin
62.115.146.226,1299,62.115.0.0/16,SE,2001-08-09,"TWELVE99 Twelve99, Telia Carrier, SE",ripencc
